DOI	year	author
10.1145/3343413.3377981	2020	Gibson, Andrew
10.1145/3343413.3377981	2020	Bruza, Peter
10.1145/3343413.3377981	2020	Hoyte, Pamela
10.1145/3343413.3377958	2020	Zimmerman, Steven
10.1145/3343413.3377958	2020	Thorpe, Alistair
10.1145/3343413.3377958	2020	Chamberlain, Jon
10.1145/3343413.3377958	2020	Kruschwitz, Udo
10.1145/3343413.3377973	2020	Zhang, Yinglong
10.1145/3343413.3377973	2020	Capra, Rob
10.1145/3343413.3377973	2020	Li, Yuan
10.1145/3343413.3377953	2020	Berget, Gerd
10.1145/3343413.3377962	2020	Larsen, Helene Høgh
10.1145/3343413.3377962	2020	Scheel, Alexander Nuka
10.1145/3343413.3377962	2020	Bogers, Toine
10.1145/3343413.3377962	2020	Larsen, Birger
10.1145/3343413.3377978	2020	Kiesel, Johannes
10.1145/3343413.3377978	2020	Lang, Kevin
10.1145/3343413.3377978	2020	Wachsmuth, Henning
10.1145/3343413.3377978	2020	Hornecker, Eva
10.1145/3343413.3377978	2020	Stein, Benno
10.1145/3343413.3377971	2020	ter Hoeve, Maartje
10.1145/3343413.3377971	2020	Sim, Robert
10.1145/3343413.3377971	2020	Nouri, Elnaz
10.1145/3343413.3377971	2020	Fourney, Adam
10.1145/3343413.3377971	2020	de Rijke, Maarten
10.1145/3343413.3377971	2020	White, Ryen W.
10.1145/3343413.3377963	2020	Zhang, Yichi
10.1145/3343413.3377963	2020	Hu, Junbo
10.1145/3343413.3377963	2020	Zhang, Yiting
10.1145/3343413.3377963	2020	Pardo, Bryan
10.1145/3343413.3377963	2020	Duan, Zhiyao
10.1145/3295750.3298917	2019	Soltani, Diana
10.1145/3295750.3298917	2019	Mitsui, Matthew
10.1145/3295750.3298917	2019	Shah, Chirag
10.1145/3295750.3298947	2019	Zürn, Xenia
10.1145/3295750.3298947	2019	Broekhuijsen, Mendel
10.1145/3295750.3298947	2019	van Gennip, Doménique
10.1145/3295750.3298947	2019	Bakker, Saskia
10.1145/3295750.3298947	2019	Zijlema, Annemarie
10.1145/3295750.3298947	2019	van den Hoven, Elise
10.1145/3295750.3298934	2019	Trippas, Johanne R.
10.1145/3295750.3298934	2019	Spina, Damiano
10.1145/3295750.3298934	2019	Scholer, Falk
10.1145/3295750.3298934	2019	Awadallah, Ahmed Hassan
10.1145/3295750.3298934	2019	Bailey, Peter
10.1145/3295750.3298934	2019	Bennett, Paul N.
10.1145/3295750.3298934	2019	White, Ryen W.
10.1145/3295750.3298934	2019	Liono, Jonathan
10.1145/3295750.3298934	2019	Ren, Yongli
10.1145/3295750.3298934	2019	Salim, Flora D.
10.1145/3295750.3298934	2019	Sanderson, Mark
10.1145/3176349.3176869	2018	Bhat, Karthik
10.1145/3176349.3176869	2018	Moreno, Andrés
10.1145/3176349.3176869	2018	Best, Michael L.
10.1145/3176349.3176383	2018	Ling, Chenjun
10.1145/3176349.3176383	2018	Steichen, Ben
10.1145/3176349.3176383	2018	Choulos, Alexander G.
10.1145/3176349.3176397	2018	Syed, Rohail
10.1145/3176349.3176397	2018	Collins-Thompson, Kevyn
10.1145/3176349.3176392	2018	Meier, Florian
10.1145/3176349.3176392	2018	Elsweiler, David
10.1145/3020165.3022149	2017	Braslavski, Pavel
10.1145/3020165.3022149	2017	Savenkov, Denis
10.1145/3020165.3022149	2017	Agichtein, Eugene
10.1145/3020165.3022149	2017	Dubatovka, Alina
10.1145/3020165.3022137	2017	Aigner, Johannes
10.1145/3020165.3022137	2017	Durchardt, Amelie
10.1145/3020165.3022137	2017	Kersting, Thiemo
10.1145/3020165.3022137	2017	Kattenbeck, Markus
10.1145/3020165.3022137	2017	Elsweiler, David
10.1145/3020165.3022134	2017	MacFarlane, Andrew
10.1145/3020165.3022134	2017	Buchanan, George
10.1145/3020165.3022134	2017	Al-Wabil, Areej
10.1145/3020165.3022134	2017	Andrienko, Gennady
10.1145/3020165.3022134	2017	Andrienko, Natalia
